id,title,year
1,The Shawshank Redemption,1994
2,The Dark Knight,2008
3,Inception,2010
4,Fight Club,1999
5,Pulp Fiction,1994
6,Forrest Gump,1994
7,The Lord of the Rings: The Fellowship of the Ring,2001
8,The Matrix,1999
9,The Lord of the Rings: The Return of the King,2003
10,The Godfather,1972
11,The Dark Knight Rises,2012
12,The Lord of the Rings: The Two Towers,2002
13,Se7en,1995
14,Interstellar,2014
15,Gladiator,2000
16,Django Unchained,2012
17,Batman Begins,2005
18,Avengers Assemble,2012
19,Star Wars: Episode IV - A New Hope,1977
20,The Silence of the Lambs,1991
21,Inglourious Basterds,2009
22,Saving Private Ryan,1998
23,Schindler's List,1993
24,The Departed,2006
25,The Prestige,2006
26,Star Wars: Episode V - The Empire Strikes Back,1980
27,Avatar,2009
28,Memento,2000
29,The Wolf of Wall Street,2013
30,The Green Mile,1999
31,Shutter Island,2010
32,American Beauty,1999
33,The Godfather: Part II,1974
34,Pirates of the Caribbean: The Curse of the Black Pearl,2003
35,V for Vendetta,2005
36,American History X,1998
37,Titanic,1997
38,Back to the Future,1985
39,Guardians of the Galaxy,2014
40,Leon,1994
41,The Usual Suspects,1995
42,Terminator 2: Judgment Day,1991
43,Kill Bill: Vol. 1,2003
44,WALL·E,2008
45,Goodfellas,1990
46,Braveheart,1995
47,Finding Nemo,2003
48,Star Wars: Episode VI - Return of the Jedi,1983
49,The Sixth Sense,1999
50,Iron Man,2008
51,Up,2009
52,The Truman Show,1998
53,One Flew Over the Cuckoo's Nest,1975
54,Eternal Sunshine of the Spotless Mind,2004
55,The Lion King,1994
56,Reservoir Dogs,1992
57,Raiders of the Lost Ark,1981
58,The Hunger Games,2012
59,Deadpool,2016
60,Star Wars: Episode VII - The Force Awakens,2015
61,Toy Story,1995
62,Jurassic Park,1993
63,The Shining,1980
64,Mad Max: Fury Road,2015
65,A Beautiful Mind,2001
66,No Country for Old Men,2007
67,Good Will Hunting,1997
68,Gone Girl,2014
69,Slumdog Millionaire,2008
70,"Monsters, Inc.",2001
71,Sin City,2005
72,The Hobbit: An Unexpected Journey,2012
73,The Terminator,1984
74,Snatch,2000
75,Die Hard,1988
76,Alien,1979
77,Gravity,2013
78,Catch Me If You Can,2002
79,Donnie Darko,2001
80,Requiem for a Dream,2000
81,300,2006
82,Harry Potter and the Deathly Hallows: Part 2,2011
83,A Clockwork Orange,1971
84,Iron Man 3,2013
85,Toy Story 3,2010
86,The Hangover,2009
87,Gran Torino,2008
88,Thor,2011
89,The Martian,2015
90,Untouchable,2011
91,Scarface,1983
92,The Big Lebowski,1998
93,Star Wars: Episode I - The Phantom Menace,1999
94,Amélie,2001
95,Black Swan,2010
96,Man of Steel,2013
97,City of God,2002
98,Captain America: The First Avenger,2011
99,Captain America: The Winter Soldier,2014
100,Spider-Man,2002
101,Iron Man 2,2010
102,Star Wars: Episode III - Revenge of the Sith,2005
103,I Am Legend,2007
104,Taxi Driver,1976
105,Avengers: Age of Ultron,2015
106,The Pianist,2002
107,Indiana Jones and the Last Crusade,1989
108,The Grand Budapest Hotel,2014
109,Silver Linings Playbook,2012
110,Blade Runner,1982
111,X-Men: Days of Future Past,2014
112,"The Good, the Bad and the Ugly",1966
113,Pirates of the Caribbean: Dead Man's Chest,2006
114,The Imitation Game,2014
115,Kill Bill: Vol. 2,2004
116,District 9,2009
117,X: First Class,2011
118,Full Metal Jacket,1987
119,How to Train Your Dragon,2010
120,The Revenant,2015
121,Aliens,1986
122,Skyfall,2012
123,Whiplash,2014
124,The King's Speech,2010
125,The Incredibles,2004
126,Trainspotting,1996
127,The Bourne Ultimatum,2007
128,Million Dollar Baby,2004
129,12 Angry Men,1957
130,The Hunger Games: Catching Fire,2013
131,Transformers,2007
132,12 Years a Slave,2013
133,Star Wars: Episode II - Attack of the Clones,2002
134,Pan's Labyrinth,2006
135,The Social Network,2010
136,Ratatouille,2007
137,The Hobbit: The Desolation of Smaug,2013
138,Batman v Superman: Dawn of Justice,2016
139,Star Trek,2009
140,Fargo,1996
141,Harry Potter and the Philosopher's Stone,2001
142,Pirates of the Caribbean: At World's End,2007
143,Shrek,2001
144,World War Z,2013
145,Now You See Me,2013
146,Sherlock Holmes,2009
147,Captain America: Civil War,2016
148,Spirited Away,2001
149,Twelve Monkeys,1995
150,Taken,2008
151,Apocalypse Now,1979
152,Prometheus,2012
153,Casino Royale,2006
154,La vita è bella,1997
155,Edge of Tomorrow,2014
156,Ted,2012
157,Groundhog Day,1993
158,The Curious Case of Benjamin Button,2008
159,Kingsman: The Secret Service,2014
160,Argo,2012
161,2001: A Space Odyssey,1968
162,X-Men,2000
163,Jurassic World,2015
164,Logan,2017
165,Avengers: Infinity War,2018
166,Life of Pi,2012
167,Psycho,1960
168,The Amazing Spider-Man,2012
169,Into the Wild,2007
170,Heat,1995
171,Thor: The Dark World,2013
172,Drive,2011
173,Inside Out,2015
174,Prisoners,2013
175,Suicide Squad,2016
176,Frozen,2013
177,Birdman or (The Unexpected Virtue of Ignorance),2014
178,Jaws,1975
179,Looper,2012
180,Kick-Ass,2010
181,Independence Day,1996
182,Spider-Man 2,2004
183,"Lock, Stock and Two Smoking Barrels",1998
184,L.A. Confidential,1997
185,Limitless,2011
186,Arrival,2016
187,Superbad,2007
188,Harry Potter and the Chamber of Secrets,2002
189,Matrix Reloaded,2003
190,X-Men 2,2003
191,21 Jump Street,2012
192,Harry Potter and the Goblet of Fire,2005
193,Harry Potter and the Prisoner of Azkaban,2004
194,The Bourne Identity,2002
195,Rise of the Planet of the Apes,2011
196,Ocean's Eleven,2001
197,Men in Black,1997
198,Casablanca,1942
199,The Notebook,2004
200,Cast Away,2000
201,Doctor Strange,2016
202,Juno,2007
203,Ant-Man,2015
204,Minority Report,2002
205,Shaun of the Dead,2004
206,Rocky,1976
207,Blood Diamond,2006
208,Toy Story 2,1999
209,"I, Robot",2004
210,Despicable Me,2010
211,Rogue One,2016
212,There Will Be Blood,2007
213,Monty Python and the Holy Grail,1975
214,Spider-Man 3,2007
215,Her,2013
216,Wonder Woman,2017
217,Zombieland,2009
218,Watchmen,2009
219,Oblivion,2013
220,Source Code,2011
221,Oldeuboi,2003
222,Star Trek into Darkness,2013
223,X-Men: The Last Stand,2006
224,Troy,2004
225,Pacific Rim,2013
226,Pirates of the Caribbean: On Stranger Tides,2011
227,Rain Man,1988
228,Harry Potter and the Order of the Phoenix,2007
229,500 Days of Summer,2009
230,Dunkirk,2017
231,"Crazy, Stupid, Love.",2011
232,Star Wars: Episode VIII - The Last Jedi,2017
233,The Hobbit: The Battle of the Five Armies,2014
234,X-Men Origins: Wolverine,2009
235,The Hangover Part II,2011
236,Guardians of the Galaxy: Vol. 2,2017
237,The Great Gatsby,2013
238,American Psycho,2000
239,Mission: Impossible - Ghost Protocol,2011
240,Children of Men,2006
241,Hot Fuzz,2007
242,The Perks of Being a Wallflower,2012
243,Black Panther,2018
244,The Butterfly Effect,2004
245,The Hateful Eight,2015
246,American Hustle,2013
247,Back to the Future Part II,1989
248,Matrix Revolutions,2003
249,Edward Scissorhands,1990
250,John Wick,2014
251,Mr. & Mrs. Smith,2005
252,Harry Potter and the Deathly Hallows: Part 1,2010
253,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
254,Ex Machina,2014
255,La La Land,2016
256,Little Miss Sunshine,2006
257,Casino,1995
258,Thor: Ragnarok,2017
259,Hancock,2008
260,The Bourne Supremacy,2004
261,Harry Potter and the Half-Blood Prince,2009
262,Crash,2004
263,The Pursuit of Happyness,2006
264,Warrior,2011
265,Le cinquième élément,1997
266,Horrible Bosses,2011
267,Divergent,2014
268,Dallas Buyers Club,2013
269,Lucy,2014
270,Indiana Jones and the Temple of Doom,1984
271,American Sniper,2014
272,The Wolverine,2013
273,Elysium,2013
274,Nightcrawler,2014
275,Sherlock Holmes: A Game of Shadows,2011
276,Ice Age,2002
277,Big Fish,2003
278,Twilight,2008
279,Rear Window,1954
280,Home Alone,1990
281,The Hurt Locker,2008
282,The Incredible Hulk,2008
283,Dawn of the Planet of the Apes,2014
284,The Help,2011
285,Rush,2013
286,Indiana Jones and the Kingdom of the Crystal Skull,2008
287,Mystic River,2003
288,War of the Worlds,2005
289,Beauty and the Beast,1991
290,Captain Phillips,2013
291,The Girl with the Dragon Tattoo,2011
292,The Conjuring,2013
293,The Amazing Spider-Man 2,2014
294,The Maze Runner,2014
295,Charlie and the Chocolate Factory,2005
296,The Day After Tomorrow,2004
297,Zodiac,2007
298,Quantum of Solace,2008
299,Fury,2014
300,Love Actually,2003
301,Spider-Man Homecoming,2017
302,The Hunger Games: Mockingjay - Part 1,2014
303,Shrek 2,2004
304,Die Hard 4.0,2007
305,Lost in Translation,2003
306,Kung Fu Panda,2008
307,The Da Vinci Code,2006
308,We're the Millers,2013
309,Gangs of New York,2002
310,Armageddon,1998
311,The Last Samurai,2003
312,Zootropolis,2016
313,Transformers: Dark of the Moon,2011
314,American Gangster,2007
315,The Mummy,1999
316,King Kong,2005
317,Transformers: Revenge of the Fallen,2009
318,The Terminal,2004
319,In Bruges,2008
320,The 40 Year-Old Virgin,2005
321,Citizen Kane,1941
322,This is the End,2013
323,Tangled,2010
324,Big Hero 6,2014
325,Dead Poets Society,1989
326,Alice in Wonderland,2010
327,Mission: Impossible,1996
328,Midnight in Paris,2011
329,Training Day,2001
330,The Princess Bride,1987
331,American Pie,1999
332,Tropic Thunder,2008
333,Saw,2004
334,Cloverfield,2008
335,Back to the Future Part III,1990
336,The Theory of Everything,2014
337,Spotlight,2015
338,Platoon,1986
339,Terminator 3: Rise of the Machines,2003
340,Get Out,2017
341,Spectre,2015
342,The Wizard of Oz,1939
343,Blade Runner 2049,2017
344,Hacksaw Ridge,2016
345,Furious 6,2013
346,In Time,2011
347,It's a Wonderful Life,1946
348,Godzilla,2014
349,28 Days Later...,2002
350,Bruce Almighty,2003
351,Predator,1987
352,X-Men: Apocalypse,2016
353,Wanted,2008
354,Despicable Me 2,2013
355,Die Hard: With a Vengeance,1995
356,The Illusionist,2006
357,Baby Driver,2017
358,The Lost World: Jurassic Park,1997
